relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.04,4.0,3004,0.09926263884404618,0.05955305503085775,0.0016548592155671406,0.344546182672959,0.05705302634052358,0.29397564854702174,0.008859617481573268,0.05134772370647123,True
0.04,4.0,3005,0.09382542770849692,0.06621867410954775,0.0039885977494369266,0.34388736487763844,0.06422372666177172,0.3448524265119978,0.008215283885868008,0.05780135399559454,True
0.04,4.0,3006,0.09714186974181199,0.05335351818841101,-0.001647831978386505,0.3486888121718855,0.06286084923658654,0.33408809818495877,0.008124981524642961,0.056574764312927885,True
0.04,4.0,3007,0.04987601120081672,0.0587031901387382,0.0009813179855101685,0.3443098358506451,0.04387543432769067,0.33476176154178205,0.006293465067077508,0.03948789089492161,True
0.04,4.0,3008,0.053955090775375525,0.05541360506077637,-0.0013308953272152615,0.34602931360261835,0.05795364488823117,0.3249172261931279,0.01034345145013298,0.05215828039940805,True
0.04,4.0,3009,0.1267180966737806,0.058451010472055795,0.004411570418888052,0.3502321203584099,0.05286004943297852,0.33479225036525007,0.006217182033571,0.04757404448968067,True
0.04,4.0,3010,0.13928861778555782,0.06722215216287658,-0.0008491654148801526,0.35232964446696485,0.06842264982582308,0.3104524744100748,0.010224898856085629,0.06158038484324078,True
0.04,4.0,3011,0.007294149479345361,0.07006057574095173,0.0006333378232989322,0.34568452326407917,0.06876205436111595,0.3518318382259315,0.009924830122171536,0.06188584892500435,True
0.04,4.0,3012,0.005987582103378065,0.05401974867294123,0.0028360634661942527,0.33806231968301836,0.07443269933107918,0.31778458116087527,0.008328900819289008,0.06698942939797127,True
0.04,4.0,3013,0.0919594522852651,0.06054081751178784,-0.0019463860350234436,0.3479045462561842,0.06337219073314436,0.3579890576028677,0.007526562070447373,0.057034971659829924,True
0.04,4.0,3014,0.09153573152796775,0.06123811599128902,0.000927747236201072,0.33587362132863996,0.05827100101313744,0.3442462869601759,0.006592726589263576,0.052443900911823695,True
0.08,1.2,3000,0.08846568445443789,0.061005052671122335,-0.00012378919678859276,0.3500485487010354,0.0371143517090284,0.2766457334481486,0.004354133946906957,0.03340291653812556,True
0.08,1.2,3001,0.0584107897147159,0.05704247866598454,0.0012493720187339295,0.33401975143460577,0.04900170073726961,0.3130830574630656,0.005334764038748552,0.04410153066354265,True
0.08,1.2,3002,0.047007585221176686,0.057396746373162916,-0.001304308622542859,0.3402117510652181,0.07215562373122608,0.3544200240315058,0.005060882639665332,0.06494006135810347,True
0.08,1.2,3003,0.050473608382657235,0.04766386997593303,0.00022052247839864255,0.3332787620389762,0.04975596373449304,0.30774923975476853,0.00731599715344029,0.04478036736104374,True
0.08,1.2,3004,0.04763245467936671,0.05527751859926688,0.0032824535856271074,0.3319446690499789,0.06991015418605699,0.29660867348939596,0.007838524049651218,0.06291913876745128,True
0.08,1.2,3005,0.054332471173614554,0.048674412289004154,0.00013431574799628435,0.3303476647195855,0.04217140965668443,0.3070036914847042,0.009213156233102215,0.03795426869101599,True
0.08,1.2,3006,0.07625963715848469,0.050041072838279986,0.001230318423415545,0.32782974457793407,0.05071511425775816,0.3009678685712611,0.007421946651671618,0.04564360283198234,True
